City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,saint-francois,46.4154,3.9054,5.93,93,100,1.03,FR,2023-04-16 20:54:44
140,narsaq,60.9167,-46.05,10.12,70,45,3.66,GL,2023-04-16 21:03:50
141,caravelas,-17.7125,-39.2481,25.58,77,14,4.85,BR,2023-04-16 20:54:39
142,khorixas,-20.3667,14.9667,25.32,32,68,2.45,NA,2023-04-16 21:03:50
143,jiwani,25.05,61.7417,25.99,75,6,5.05,PK,2023-04-16 20:54:54
144,inirida,3.8653,-67.9239,24.08,93,100,1.3,CO,2023-04-16 21:03:50
145,andenes,69.3143,16.1194,4.4,81,75,3.6,NO,2023-04-16 21:03:50
146,maniitsoq,65.4167,-52.9,-0.93,78,4,9.09,GL,2023-04-16 20:54:02
147,stromness,58.965,-3.296,9.37,86,100,3.13,GB,2023-04-16 21:03:51
148,hilo,19.7297,-155.09,27.38,79,40,4.12,US,2023-04-16 21:03:51
149,cayenne,4.9333,-52.3333,28.02,78,20,4.63,GF,2023-04-16 20:52:29
150,cimarron hills,38.8586,-104.6989,15.19,25,20,7.2,US,2023-04-16 21:03:51
151,laiyang,36.9758,120.7136,8.69,63,99,3.76,CN,2023-04-16 21:03:51
152,jamestown,42.097,-79.2353,24.97,41,20,5.66,US,2023-04-16 21:02:38
153,castro,-24.7911,-50.0119,18.46,88,26,1.77,BR,2023-04-16 21:01:49
154,chernyshevskiy,63.0128,112.4714,-17.99,89,91,4.1,RU,2023-04-16 21:03:52
155,pevek,69.7008,170.3133,-17.74,90,97,1.05,RU,2023-04-16 21:03:52
156,fort nelson,58.8053,-122.7002,10.77,40,75,0.0,CA,2023-04-16 20:52:58
157,vao,-22.6667,167.4833,26.29,87,100,7.2,NC,2023-04-16 20:53:52
158,atascocita,29.9988,-95.1766,25.75,33,20,3.6,US,2023-04-16 21:03:53
159,siemiatycze,52.4272,22.8623,9.72,90,100,2.77,PL,2023-04-16 21:03:53
160,san juan,-31.5375,-68.5364,19.16,47,71,4.54,AR,2023-04-16 21:03:53
161,kamaishi,39.2667,141.8833,5.97,67,80,3.34,JP,2023-04-16 21:03:53
162,lebu,-37.6167,-73.65,12.51,71,22,8.86,CL,2023-04-16 21:03:53
163,itarema,-2.9248,-39.9167,25.85,88,100,3.61,BR,2023-04-16 20:54:25
164,kafue,-15.7691,28.1814,17.61,69,100,2.6,ZM,2023-04-16 21:03:54
165,provideniya,64.3833,-173.3,-5.94,53,0,2.0,RU,2023-04-16 21:03:54
166,avera,33.194,-82.5271,25.03,65,94,6.06,US,2023-04-16 20:54:51
167,jumilla,38.4792,-1.325,12.51,78,0,1.36,ES,2023-04-16 21:03:54
168,luderitz,-26.6481,15.1594,21.29,39,2,0.98,NA,2023-04-16 21:03:54
169,monte alegre,-2.0078,-54.0692,27.02,84,94,2.47,BR,2023-04-16 21:02:59
170,vestmannaeyjar,63.4427,-20.2734,8.7,96,100,15.38,IS,2023-04-16 21:03:54
171,aden,12.7794,45.0367,27.93,78,3,7.15,YE,2023-04-16 21:03:55
172,husavik,66.0449,-17.3389,4.74,93,100,3.9,IS,2023-04-16 20:55:09
173,ostrovnoy,68.0531,39.5131,-5.26,90,5,4.78,RU,2023-04-16 21:03:55
174,san policarpo,12.1791,125.5072,26.18,83,33,1.88,PH,2023-04-16 21:03:55
175,victoria,22.2855,114.1577,25.18,86,1,2.24,HK,2023-04-16 21:00:06
176,lompoc,34.6391,-120.4579,15.08,79,100,6.69,US,2023-04-16 21:03:55
